,name,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
1,000001.jpg,69,109,106,113,77,142,73,152,108,154
2,000002.jpg,69,110,107,112,81,135,70,151,108,153
3,000003.jpg,76,112,104,106,108,128,74,156,98,158
4,000004.jpg,72,113,108,108,101,138,71,155,101,151
5,000005.jpg,66,114,112,112,86,119,71,147,104,150
6,000006.jpg,71,111,106,110,94,131,74,154,102,153
7,000007.jpg,70,112,108,111,85,135,72,152,104,152
8,000008.jpg,71,110,106,111,84,137,73,155,104,153
9,000009.jpg,68,113,110,111,97,139,66,152,109,150
10,000010.jpg,68,111,108,112,89,136,70,151,107,151
11,000011.jpg,69,112,108,111,89,139,72,152,104,151
12,000012.jpg,69,112,108,112,89,136,68,150,109,152
13,000013.jpg,68,112,109,111,90,138,67,151,109,150
14,000014.jpg,68,112,109,111,92,141,72,150,104,152
15,000015.jpg,69,110,107,112,90,133,74,152,105,153
16,000016.jpg,69,112,108,111,85,138,70,152,105,152
17,000017.jpg,67,112,109,113,86,138,67,150,111,151
18,000018.jpg,67,112,110,112,88,135,68,150,109,150
19,000019.jpg,68,111,108,112,88,134,73,152,104,151
20,000020.jpg,69,112,109,110,86,125,72,152,103,151
21,000021.jpg,70,111,107,111,87,138,73,151,104,154
22,000022.jpg,70,111,107,111,85,132,74,153,103,153
23,000023.jpg,70,112,108,111,88,140,71,153,105,151
24,000024.jpg,67,111,109,113,84,123,72,149,106,152
25,000025.jpg,70,111,108,111,83,130,72,153,104,152
26,000026.jpg,69,111,108,111,85,135,73,152,103,152
27,000027.jpg,70,112,107,110,101,138,70,155,105,151
28,000028.jpg,68,112,110,112,89,145,67,150,109,151
29,000029.jpg,69,111,108,111,91,129,70,151,107,152
30,000030.jpg,70,110,106,111,95,135,75,153,103,153
31,000031.jpg,68,113,109,111,88,137,65,151,111,151
32,000032.jpg,72,111,106,110,88,133,75,153,101,155
33,000033.jpg,69,111,108,111,88,136,72,152,105,152
34,000034.jpg,70,111,108,111,91,134,72,153,104,152
35,000035.jpg,69,111,108,111,88,135,73,152,104,152
36,000036.jpg,74,106,101,111,69,138,80,156,102,158
37,000037.jpg,72,110,105,110,94,132,76,155,101,155
38,000038.jpg,69,112,109,111,93,137,68,151,109,152
39,000039.jpg,69,111,108,111,100,131,68,151,108,152
40,000040.jpg,69,112,108,111,89,139,73,152,103,152
41,000041.jpg,70,105,102,114,65,144,73,151,112,159
42,000042.jpg,68,112,109,112,92,138,68,152,109,150
43,000043.jpg,68,111,109,112,90,136,67,150,110,151
44,000044.jpg,71,110,106,111,87,137,73,153,105,154
45,000045.jpg,69,112,108,111,86,140,68,151,108,152
46,000046.jpg,66,112,110,113,87,139,69,149,109,150
47,000047.jpg,68,112,109,112,88,135,72,151,105,152
48,000048.jpg,70,113,108,110,81,125,74,154,100,150
49,000049.jpg,73,107,102,111,76,139,78,157,102,156
50,000050.jpg,68,112,109,111,93,139,66,151,110,151
51,000051.jpg,67,113,110,112,83,140,69,148,107,152
52,000052.jpg,70,111,107,111,85,135,72,153,105,153
53,000053.jpg,70,112,108,111,91,137,72,153,103,152
54,000054.jpg,67,112,110,112,87,138,66,150,111,151
55,000055.jpg,69,111,108,111,86,133,73,151,104,153
56,000056.jpg,69,111,107,111,97,133,74,152,103,152
57,000057.jpg,71,111,106,110,95,134,73,154,103,154
58,000058.jpg,68,112,109,112,89,132,73,152,104,150
59,000059.jpg,72,110,105,110,75,132,75,153,101,156
60,000060.jpg,71,112,107,109,74,131,70,154,104,153
61,000061.jpg,74,110,104,108,97,130,78,158,97,154
62,000062.jpg,69,111,108,112,87,137,72,153,105,151
63,000063.jpg,68,111,108,113,82,142,66,150,112,152
64,000064.jpg,68,111,108,112,88,132,71,151,106,152
65,000065.jpg,69,112,108,111,87,136,71,152,106,151
66,000066.jpg,66,112,110,113,86,136,65,149,114,150
67,000067.jpg,70,110,106,111,93,136,73,154,104,153
68,000068.jpg,69,111,108,111,93,136,72,151,105,153
69,000069.jpg,68,111,108,112,88,126,77,151,101,152
70,000070.jpg,67,109,107,114,78,144,72,150,110,153
71,000071.jpg,68,111,109,113,85,138,71,151,108,151
72,000072.jpg,68,112,109,112,89,137,64,151,113,150
73,000073.jpg,70,110,107,111,77,134,74,152,103,154
74,000074.jpg,68,111,108,113,88,124,75,153,103,150
75,000075.jpg,70,111,107,111,80,129,73,152,103,153
76,000076.jpg,67,113,110,112,83,126,67,151,109,150
77,000077.jpg,68,111,109,112,83,138,69,150,109,152
78,000078.jpg,66,112,111,113,90,126,70,149,107,150
79,000079.jpg,70,111,107,111,80,139,73,153,103,152
80,000080.jpg,69,110,107,112,92,137,73,153,105,152
81,000081.jpg,69,112,108,111,95,136,68,153,109,150
82,000082.jpg,69,111,108,111,88,135,69,152,108,151
83,000083.jpg,68,112,109,112,87,138,69,150,108,152
84,000084.jpg,69,111,108,111,93,128,71,151,107,153
85,000085.jpg,68,111,108,112,85,139,72,150,107,152
86,000086.jpg,69,109,106,113,97,132,79,152,101,153
87,000087.jpg,69,112,108,112,93,140,66,152,111,151
88,000088.jpg,71,112,107,110,81,134,77,153,98,154
89,000089.jpg,69,111,108,111,83,140,73,151,104,153
90,000090.jpg,71,110,105,111,92,133,77,154,100,154
91,000091.jpg,69,111,108,111,88,139,73,152,104,152
92,000092.jpg,68,112,109,111,94,137,73,151,104,151
93,000093.jpg,66,112,111,113,87,126,72,148,105,150
94,000094.jpg,68,111,108,112,92,134,69,150,109,153
95,000095.jpg,70,112,108,110,92,132,75,153,101,152
96,000096.jpg,69,111,108,112,91,128,74,151,103,152
97,000097.jpg,69,111,108,111,87,132,76,150,101,154
98,000098.jpg,70,111,107,111,80,137,77,152,100,154
99,000099.jpg,68,112,109,112,90,138,66,151,111,150
100,000100.jpg,69,111,108,111,95,134,69,151,107,152
